3G LV-SWP 320-850,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Series name: ,Filter @ 5 mm,,Filter @ 6.76 mm,,Filter @ 9.66 mm,,Filter @ 12.57 mm,,Filter @ 18.38 mm,,Filter @ 24.19 mm,,Filter @ 30 mm,,Filter @ 35.81 mm,,Filter @ 41.62 mm,,Filter @ 47.43 mm,,Filter @ 53.24 mm,,Filter @ 58 mm,
Quantity (unit): ,Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%),Wavelength (nm),Transmission (%)
,406,-0.003632,406,0.00099,406,0.002179,446,0.00111,476,-0.004686,506,0.434851,536,94.223672,566,93.585653,596,96.261372,626,95.376222,646,94.103788,660,94.790515
,407,-0.005806,407,-0.008247,407,-0.003365,447,0.000849,477,0.003214,507,0.192142,537,91.962822,567,94.296766,597,95.901776,627,94.434588,647,94.601028,661,94.132319
,408,0.004425,408,0.003764,408,0.004887,448,0.001632,478,0.001739,508,0.094028,538,89.8816,568,94.874353,598,95.33064,628,93.507243,648,94.938245,662,93.34836
,409,-0.003098,409,0.00112,409,-0.002439,449,0.004962,479,-0.002135,509,0.055387,539,88.972624,569,95.40375,599,95.019667,629,92.957596,649,94.830012,663,92.864524
,410,-0.008382,410,-0.007788,410,-0.006138,450,0.002092,480,0.001466,510,0.033831,540,89.147071,570,95.578208,600,94.47967,630,92.746979,650,94.460312,664,92.865481
,411,0.004881,411,0.001912,411,0.004155,451,-0.000196,481,0.001606,511,0.021023,541,90.874631,571,95.783721,601,94.182496,631,92.9898,651,94.15539,665,93.567111
,412,-0.000791,412,0.001847,412,0.002309,452,0.000916,482,0.000336,512,0.015267,542,93.141302,572,96.088519,602,94.117712,632,93.107474,652,93.674421,666,94.315832
,413,0.00125,413,0.000789,413,0.006384,453,-0.002295,483,0.002627,513,0.009175,543,94.536373,573,96.539209,603,94.403495,633,93.01833,653,93.602683,667,94.878644
,414,0.006591,414,-0.000131,414,0.000988,454,0.002694,484,0.002967,514,0.011304,544,94.081429,574,96.877788,604,94.818726,634,92.923395,654,93.613248,668,95.116732
,415,-0.003623,415,0.00079,415,-0.004348,455,0.003689,485,-0.00135,515,0.006091,545,91.588986,575,97.191247,605,95.042765,635,92.772515,655,94.106557,669,95.189066
