Wavelength,Intensity
663.11828,3.41E+02
663.15738,3.29E+02
663.19648,3.20E+02
663.23558,3.20E+02
663.27468,3.21E+02
663.31378,3.09E+02
663.35288,3.03E+02
663.39198,2.96E+02
663.43109,2.93E+02
663.47019,2.90E+02
663.50929,2.83E+02
663.54839,2.77E+02
663.58749,2.70E+02
663.62659,2.65E+02
663.66569,2.60E+02
663.70479,2.56E+02
663.74389,2.61E+02
663.78299,2.57E+02
663.82209,2.47E+02
663.86119,2.43E+02
663.90029,2.40E+02
663.93939,2.36E+02
663.97849,2.34E+02
664.01760,2.29E+02
664.05670,2.25E+02
664.09580,2.22E+02
664.13490,2.19E+02
664.17400,2.16E+02
664.21310,2.17E+02
664.25220,2.06E+02
664.29130,2.08E+02
664.33040,2.10E+02
664.36950,2.01E+02
664.40860,1.99E+02
664.44770,1.98E+02
664.48680,1.97E+02
664.52590,1.96E+02
664.56500,1.92E+02
664.60411,1.85E+02
664.64321,1.88E+02
664.68231,1.80E+02
664.72141,1.80E+02
664.76051,1.81E+02
664.79961,1.75E+02
664.83871,1.69E+02
664.87781,1.72E+02
664.91691,1.68E+02
664.95601,1.64E+02
664.99511,1.65E+02
665.03421,1.61E+02
665.07331,1.56E+02
665.11241,1.51E+02
665.15152,1.48E+02
665.19062,1.46E+02
665.22972,1.47E+02
665.26882,1.44E+02
665.30792,1.43E+02
665.34702,1.42E+02
665.38612,1.41E+02
665.42522,1.40E+02
665.46432,1.33E+02
665.50342,1.33E+02
665.54252,1.32E+02
665.58162,1.31E+02
665.62072,1.27E+02
665.65982,1.20E+02
665.69892,1.14E+02
665.73803,1.23E+02
665.77713,1.20E+02
665.81623,1.17E+02
665.85533,1.15E+02
665.89443,1.09E+02
665.93353,1.06E+02
665.97263,1.03E+02
666.01173,1.01E+02
666.05083,1.03E+02
666.08993,9.30E+01
666.12903,9.30E+01
666.16813,9.30E+01
666.20723,9.00E+01
666.24633,8.80E+01
666.28543,8.10E+01
666.32454,8.20E+01
666.36364,7.90E+01
666.40274,7.70E+01
666.44184,7.50E+01
666.48094,7.30E+01
666.52004,6.90E+01
666.55914,6.90E+01
666.59824,6.30E+01
666.63734,6.20E+01
666.67644,6.10E+01
666.71554,5.80E+01
666.75464,6.40E+01
666.79374,5.40E+01
666.83284,5.40E+01
666.87195,5.40E+01
666.91105,5.60E+01
666.95015,5.00E+01
666.98925,4.80E+01
667.02835,4.70E+01
667.06745,4.60E+01
667.10655,4.90E+01
667.14565,4.10E+01
667.18475,3.60E+01
667.22385,3.80E+01
667.26295,3.60E+01
667.30205,3.50E+01
667.34115,3.70E+01
667.38025,3.40E+01
667.41935,3.30E+01
667.45846,3.20E+01
667.49756,3.20E+01
667.53666,3.50E+01
667.57576,2.70E+01
667.61486,2.20E+01
667.65396,2.70E+01
667.69306,2.60E+01
667.73216,2.60E+01
667.77126,2.50E+01
667.81036,2.00E+01
667.84946,2.50E+01
667.88856,2.50E+01
667.92766,2.50E+01
667.96676,2.10E+01
668.00587,1.50E+01
668.04497,1.70E+01
668.08407,1.80E+01
668.12317,1.90E+01
668.16227,1.50E+01
668.20137,1.30E+01
668.24047,1.50E+01
668.27957,1.20E+01
668.31867,1.20E+01
668.35777,1.30E+01
668.39687,8.00E+00
668.43597,1.10E+01
668.47507,1.50E+01
668.51417,1.40E+01
668.55327,1.30E+01
668.59238,6.00E+00
668.63148,6.00E+00
668.67058,1.20E+01
668.70968,5.00E+00
668.74878,6.00E+00
668.78788,8.00E+00
668.82698,1.00E+01
668.86608,9.00E+00
668.90518,7.00E+00
668.94428,8.00E+00
668.98338,9.00E+00
669.02248,1.10E+01
669.06158,1.40E+01
669.10068,5.00E+00
669.13978,4.00E+00
669.17889,8.00E+00
669.21799,1.20E+01
669.25709,4.00E+00
669.29619,1.30E+01
669.33529,1.00E+01
669.37439,8.00E+00
669.41349,7.00E+00
669.45259,6.00E+00
669.49169,3.00E+00
669.53079,6.00E+00
669.56989,7.00E+00
669.60899,8.00E+00
669.64809,5.00E+00
669.68719,7.00E+00
669.72630,8.00E+00
669.76540,0.00E+00
669.80450,1.00E+00
669.84360,2.00E+00
669.88270,9.00E+00
669.92180,7.00E+00
669.96090,6.00E+00
670.00000,7.00E+00
